title,doi,volume,date,year,month,abstract,issn,githubs-scraped
Drone scheduling to monitor vessels in emission control areas,10.1016/j.trb.2018.10.011,119,2019-01-01,2019,1,"The use of drones to monitor the emissions of vessels has recently attracted wide attention because of its great potentials for enforcing regulations in emission control areas (ECAs). Motivated by this potential application, we study how drones can be scheduled to monitor the sailing vessels in ECAs, which is defined as a drone scheduling problem (DSP) in this paper. The objective of the DSP is to design a group of flight tours for drones, including the inspection sequence and timings for the vessels, such that as many vessels as possible can be inspected during a given time period while prioritizing highly weighted vessels for inspection. We show that the DSP can be regarded as a generalized team orienteering problem, which is known to be NP-hard, and deriving solutions for this problem can be more difficult because additional complicated features, such as time-dependent locations, multiple trips for a drone, and multiple stations (or depots), are addressed simultaneously. To overcome these difficulties, we model the dynamics of each sailing vessel using a real-time location function in a deterministic fashion. This approach allows us to approximately represent the problem on a time-expanded network, based on which a network flow-based formulation can be formally developed. To solve this proposed formulation, we further develop a Lagrangian relaxation-based method that can obtain near-optimal solutions for large-scale instances of the problem. Numerical experiments based on practically generated instances with 300 time points and up to 100 vessels are conducted to validate the effectiveness and efficiency of the proposed method. Results show that our method derives tight upper bounds on optimal solutions, and can quickly return good feasible solutions for the tested instances. We also conduct experiments based on realistic tracking data to demonstrate the usefulness of our solutions, including those for the cases considering the uncertainty of vessel locations.",0191-2615,Not found
The emergence of macroscopic interactions between intersecting pedestrian streams,10.1016/j.trb.2018.12.002,119,2019-01-01,2019,1,"The interactions between individual pedestrians can lead to emergent effects, such as the formation of lanes in bidirectional flows. Here, we expose properties of an emergent effect at a macroscopic level, namely interactions between pedestrian streams that arise when pedestrians walk into and through four-way intersections from different directions. We propose non-spatial models for the number of pedestrians from different streams inside an intersection. Each model encodes a different hypothesis for how streams interact and can produce dynamics fundamentally distinct from the other models. By fitting our models to large experimental data sets and determining which model explains the data best, we determine when and how entire streams of pedestrians start to interact. We find that as arrival rates increase, streams start to interact and compete for space. Our results suggest that these interactions result in an even balance of pedestrian numbers across two orthogonally intersecting streams. Neither of the streams can dominate. In contrast, for four intersecting streams, our findings suggest that jams in some streams can coincide with higher flow rates in other streams and that the relative dominance of streams can switch stochastically. By adapting existing methodology, we thus present a coherent conceptual approach for investigating emergent effects in temporal dynamics at aggregated levels in pedestrian flows that could be applied to other scenarios. Our approach is flexible and uses easily measured quantities, making it highly suitable for observational data in different scenarios or deployment in applications.",0191-2615,Not found
Efficient calibration of microscopic car-following models for large-scale stochastic network simulators,10.1016/j.trb.2018.09.005,119,2019-01-01,2019,1,"This paper proposes a simulation-based optimization methodology for the efficient calibration of microscopic traffic flow models (i.e., car-following models) of large-scale stochastic network simulators. The approach is a metamodel simulation-based optimization (SO) method. To improve computational efficiency of the SO algorithm, problem-specific and simulator-specific structural information is embedded into a metamodel. As a closed-form expression is sought, we propose adopting the steady-state solution of the car-following model as an approximation of its simulation-based input-output mapping. This general approach is applied for the calibration of the Gipps car-following model embedded in a microscopic traffic network simulator, on a large network. To this end, a novel formulation for the traffic stream models corresponding to the Gipps car-following law is provided. The proposed approach identifies points with good performance within few simulation runs. Comparing its performances to that of a traditional approach, which does not take advantage of the structural information, the objective function is improved by two orders of magnitude in most experiments. Moreover, this is achieved within tight computational budgets, i.e., few simulation runs. The solutions identified improve the fit to the field measurements by one order of magnitude, on average. The structural information provided to the metamodel is shown to enable the SO algorithm to become robust to both the quality of the initial points and the simulator stochasticity.",0191-2615,Not found
Robust location-allocation network design for earthquake preparedness,10.1016/j.trb.2018.11.009,119,2019-01-01,2019,1,"We develop robust models for earthquake preparedness by optimizing the number, location, and capacity of distribution centers (DCs). The goal is to minimize the total social costs, which include setup and initial supplies, as well as the deprivation costs associated with delayed access to supplies. The models incorporate various earthquake magnitude-specific uncertainties, such as facility damage, casualty by severity, and travel time. Examining the concept of social costs in light of an emerging concern in humanitarian logistics - the robustness of relief networks, we model two types of robustness: parameter uncertainty within a scenario and relative regret across scenarios. This unique approach reveals (1) the magnitude of social costs in the aftermath of an earthquake; (2) the hidden risks associated with inaccurate modeling of deprivation costs; and (3) the impact of budgetary constraints. We demonstrate the applicability of our approach via a case study featuring the Northridge region in California, which experienced two of the strongest earthquakes recorded in North America in 1971 and 1994.",0191-2615,Not found
Stochastic on-time arrival problem in transit networks,10.1016/j.trb.2018.11.013,119,2019-01-01,2019,1,"This article considers the stochastic on-time arrival problem in transit networks where both the travel time and the waiting time for transit services are stochastic. A specific challenge of this problem is the combinatorial solution space due to the unknown ordering of transit line arrivals. We propose a network structure appropriate to the online decision-making of a passenger, including boarding, waiting and transferring. In this framework, we design a dynamic programming algorithm that is pseudo-polynomial in the number of transit stations and travel time budget, and exponential in the number of transit lines at a station, which is a small number in practice. To reduce the search space, we propose a definition of transit line dominance, and techniques to identify dominance, which decrease the computation time by up to 90% in numerical experiments. Extensive numerical experiments are conducted on both a synthetic network and the Chicago transit network.",0191-2615,Not found
Tolerance-based strategies for extending the column generation algorithm to the bounded rational dynamic user equilibrium problem,10.1016/j.trb.2018.11.008,119,2019-01-01,2019,1,"The column generation (CG) algorithm has been widely applied to traffic assignment problems due to its capability of circumventing path enumeration. Incorporating bounded rationality (BR) and dynamics, this paper proposes four tolerance-based strategies for extending the CG algorithm to the bounded rational dynamic user equilibrium model (BR-DUE): (i) a tolerance-based minimum disutility path search strategy is developed to allow travelers seeking satisfactory paths; (ii) a self-adjusted convergence threshold strategy is applied for fast convergence at the intermediate iterations; (iii) a varied temporal resolution scheme, combining exploration and exploitation, is suggested to assign flows to narrow time regions rather than to the whole time horizon; and (iv) a path search skipping strategy is introduced by comparing the lower bound of travel disutility and the minimum disutility between the OD pairs. With these strategies, an efficient tolerance-based column generation (TBCG) algorithm for BR-DUE is developed. Numerical examples are provided to demonstrate that the TBCG algorithm leads to significant computation time reductions without the expense of solution quality, of which the speedup factors are around two compared with using the original CG algorithm.",0191-2615,Not found
Distributionally robust optimization of an emergency medical service station location and sizing problem with joint chance constraints,10.1016/j.trb.2018.11.012,119,2019-01-01,2019,1,"An effective Emergency Medical Service (EMS) system can provide medical relief supplies for common emergencies (fire, accident, etc.) or large-scale disasters (earthquake, tsunami, bioterrorism attack, explosion, etc.) and decrease morbidity and mortality dramatically. This paper proposes a distributionally robust model for optimizing the location, number of ambulances and demand assignment in an EMS system by minimizing the expected total cost. The model guarantees that the probability of satisfying the maximum concurrent demand in the whole system is larger than a predetermined reliability level by introducing joint chance constraints and characterizes the expected total cost by moment uncertainty based on a data-driven approach. The model is approximated as a parametric second-order conic representable program. Furthermore, a special case of the model is considered and converted into a standard second-order cone program, which can be efficiently solved with a proposed outer approximation algorithm. Extensive numerical experiments are conducted to illustrate the benefit of the proposed approach. Moreover, a dataset from a real application is also used to demonstrate the application of the data-driven approach.",0191-2615,Not found
Network congestion games are robust to variable demand,10.1016/j.trb.2018.11.010,119,2019-01-01,2019,1,"We consider a non-atomic network congestion game with incomplete information in which nature decides which commodities travel. The users of a commodity do not know which other commodities travel and only have distributional information about their presence. Our main result is that the price of anarchy bounds known for the deterministic demand game also apply to the Bayesian game with random demand, even if the travel probabilities of different commodities are arbitrarily correlated. Moreover, the extension result of price of anarchy bounds for complete information games to incomplete information games in which the set of players is randomly determined can be generalized to the class of smooth games.",0191-2615,Not found
Analytical derivation of the optimal traffic signal timing: Minimizing delay variability and spillback probability for undersaturated intersections,10.1016/j.trb.2018.11.004,119,2019-01-01,2019,1,Individual vehicles experience a large variability of delay at signalized intersections in urban networks. Existing traffic signal optimization frameworks often overlook the implications of delay variability and spillback for design and analysis of signal timing plans. This paper presents an analytical solution based on the shockwave theory to estimate delay variability at an undersaturated intersection. We also propose a new optimal signal timing formulation that minimizes the delay variability and probability of spillback in addition to total delay. Several algorithms are proposed to attain the global optimal signal timing for prefixed (given) and dynamic (optimal) cycle length control strategies. Illustrative microsimulation and numerical studies demonstrate the effectiveness of the proposed formulated models and signal optimization algorithms.,0191-2615,Not found
The urban recharging infrastructure design problem with stochastic demands and capacitated charging stations,10.1016/j.trb.2018.11.001,119,2019-01-01,2019,1,"In this study we develop an exact solution method to optimize the location and capacity of charging stations to satisfy the fast charging needs of electric vehicles in urban areas. Stochastic recharge demands, capacity limitations of charging stations and drivers’ route preferences (deviation tolerances) are simultaneously considered to address this challenging problem faced by recharging infrastructure planners or investors. Taking a scenario based approach to model demand uncertainty, we first propose a compact two stage stochastic programming formulation. We then project out the second stage decision variables from the compact formulation by describing the extreme rays of its polyhedral cone and obtain (1) a cut formulation that enables an efficient branch and cut algorithm to solve large problem instances (2) a novel characterization for feasible solutions to the capacitated covering problems. We test our algorithm on the Chicago metropolitan area network, by considering real world origin-destination trip data to model charging demands. Our results attest the efficiency of the proposed branch and cut algorithm and provide significant managerial insights.",0191-2615,Not found
