title,doi,volume,date,year,month,abstract,issn,githubs-scraped
A copula-based estimation of distribution algorithm for calibration of microscopic traffic models,10.1016/j.trc.2018.12.008,98,2019-01-01,2019,1,"The importance of calibration of microscopic traffic models as the main core of traffic simulation software results from the need for more realistic traffic behaviors. The latent essence of several parameters in such models as well as the uncertainties resulting from the noise in the data, make the process of calibration much more complex. Usually, the calibration process is formulated as an optimization problem. Selecting the appropriate solution algorithm due to nonlinear and non-convex nature of the problem is crucial. The importance of the issue is more significant when the matter of calibrating the medium or large-scale simulation model is considered. This is mainly due to the expensive cost that running the simulation models impose. Therefore, applying the current algorithms in which finding the appropriate solutions requires a large number of simulation runs is not deemed suitable. In this paper, an estimation of distribution algorithm based on copula theory has been suggested. In contrast with traditional solution algorithms, in the proposed algorithm complex interaction between parameters of a model has been considered by constructing and sampling from a copula-based probabilistic model. Copulas are functions that describe the dependence structure of a set of random variables and connect multivariate distribution functions to one-dimensional marginal distribution functions. The results indicate that applying an explicit probabilistic model based on copula helps the estimation of distribution algorithm to explore the search space more effectively and efficiently as well as provides the possibility of extracting the knowledge with regard to the structure of the calibration problem through analyzing the probabilistic models that are constructed during the evolution process. Furthermore, this new algorithm has been compared with the genetic algorithm and kernel-based cross-entropy method on synthetic and real trajectory data. The results confirm that the proposed algorithm is more efficient in terms of convergence rate, resource usage and more robust in terms of the probability of finding the global optimal solution.",0968-090X,Not found
A dynamic two-dimensional (D2D) weight-based map-matching algorithm,10.1016/j.trc.2018.12.009,98,2019-01-01,2019,1,"Existing map-Matching (MM) algorithms primarily localize positioning fixes along the centerline of a road and have largely ignored road width as an input. Consequently, vehicle lane-level localization, which is essential for stringent Intelligent Transport System (ITS) applications, seems difficult to accomplish, especially with the positioning data from low-cost GPS sensors. This paper aims to address this limitation by developing a new dynamic two-dimensional (D2D) weight-based MM algorithm incorporating dynamic weight coefficients and road width. To enable vehicle lane-level localization, a road segment is virtually expressed as a matrix of homogeneous grids with reference to a road centerline. These grids are then used to map-match positioning fixes as opposed to matching on a road centerline as carried out in traditional MM algorithms. In this developed algorithm, vehicle location identification on a road segment is based on the total weight score which is a function of four different weights: (i) proximity, (ii) kinematic, (iii) turn-intent prediction, and (iv) connectivity. Different parameters representing network complexity and positioning quality are used to assign the relative importance to different weight scores by employing an adaptive regression method. To demonstrate the transferability of the developed algorithm, it was tested by using 5,830 GPS positioning points collected in Nottingham, UK and 7,414 GPS positioning points collected in Mumbai and Pune, India. The developed algorithm, using stand-alone GPS position fixes, identifies the correct links 96.1% (for the Nottingham data) and 98.4% (for the Mumbai-Pune data) of the time. In terms of the correct lane identification, the algorithm was found to provide the accurate matching for 84% (Nottingham) and 79% (Mumbai-Pune) of the fixes obtained by stand-alone GPS. Using the same methodology adopted in this study, the accuracy of the lane identification could further be enhanced if the localization data from additional sensors (e.g. gyroscope) are utilized. ITS industry and vehicle manufacturers can implement this D2D map-matching algorithm for liability critical and in-vehicle information systems and services such as advanced driver assistant systems (ADAS).",0968-090X,Not found
Where shall we sync? Clustering passenger flows to identify urban public transport hubs and their key synchronization priorities,10.1016/j.trc.2018.12.013,98,2019-01-01,2019,1,"Minimizing passenger transfer times through public transport (PT) transfer synchronization is important during tactical planning and real-time control. However, there are computational challenges for solving this Timetable Synchronization Problem (TSP) for large, real-world urban PT networks. Hence, in this study we propose a data-driven, passenger-oriented methodology as a preparatory selection stage to reduce problem dimensionality by (1) determining the significant transfer hubs in the network, and (2) identifying subsets of lines within these hubs that need to be prioritized for transfer synchronization. In the first phase of our methodology we determine the spatial boundaries of transfer locations, using a clustering technique based on the passenger transfer flow matrix inferred from smartcard data. After that, a subset of hubs to be prioritized for synchronization is selected. In the second phase, we characterize the transfer patterns within the hubs based on a topological representation. Based on these topological graphs, the line bundles that need to be prioritized within the hubs are further identified using a modularity-based community detection technique. We apply our methodology to a real-world case study, i.e. the PT network of The Hague, the Netherlands. For this case study, our approach allows for prioritizing 70% of all transfers within identified transfer locations while only requiring 0.9% of these transfer locations, thus reducing the complexity of solving the TSP substantially at a relatively low cost. Our method supports public transport operators during timetable design and real-time control in determining where and which lines to prioritize when devising measures for improving transfer experience and synchronization.",0968-090X,Not found
Machine learning approach to predict aircraft boarding,10.1016/j.trc.2018.09.007,98,2019-01-01,2019,1,"Reliable and predictable ground operations are essential for punctual air traffic movements. Uncertainties in the airborne phase have significantly less impact on flight punctuality than deviations in aircraft ground operations. The ground trajectory of an aircraft primarily consists of the handling processes at the stand, defined as the aircraft turnaround, which are mainly controlled by operational experts. Only the aircraft boarding, which is on the critical path of the turnaround, is driven by the passengers’ experience and willingness or ability to follow the proposed procedures. We used a recurrent neural network approach to predict the progress of a running boarding event. In particular, we implemented and trained the Long Short-Term Memory model. Since no operational data of the specific passenger behavior is available, we used a reliable, validated boarding simulation environment to provide data about the aircraft boarding events. First predictions show that uni-variate input (seat load progress) produces insufficient results, so we consider expected passenger interactions in the aircraft cabin as well. These interactions are aggregated to a prior-developed complexity metric and allow an efficient evaluation of the current boarding progress. With this multi-variate input, our Long Short-Term Memory model achieves appropriate prediction results for the boarding progress.",0968-090X,Not found
Data-driven activity scheduler for agent-based mobility models,10.1016/j.trc.2018.12.002,98,2019-01-01,2019,1,"Activity-based modelling is a modern agent-based approach to travel demand modelling, in which the transport demand is derived from the agent’s needs to perform certain activities at specific places and times. The agent’s mobility is considered in a broader context, which allows the activity-based models to produce more realistic trip chains, compared to traditional trip-based models. The core of any activity-based model is an activity scheduler – a software component producing sequences of agent’s daily activities interconnected by trips, called activity schedules. Traditionally, activity schedulers used to rely heavily on hard-coded knowledge of transport behaviour experts. We introduce the concept of a Data-Driven Activity Scheduler (DDAS), which replaces numerous expert-designed components and their intricately engineered interactions with a collection of machine learning models. Its architecture is significantly simpler, making it easier to deploy and maintain. This shift towards data-driven, machine learning based approach is possible due to increased availability of mobility-related data. We demonstrate DDAS concept using our own proof-of-concept implementation, perform a rigorous analysis and compare the validity of the resulting model to one of the rule-based alternatives using the Validation Framework for Activity-Based Models (VALFRAM).",0968-090X,https://github.com/danielefm/DistanceMatrix
Cordon control with spatially-varying metering rates: A Reinforcement Learning approach,10.1016/j.trc.2018.12.007,98,2019-01-01,2019,1,"The work explores how Reinforcement Learning can be used to re-time traffic signals around cordoned neighborhoods. An RL-based controller is developed by representing traffic states as graph-structured data and customizing corresponding neural network architectures to handle those data. The customizations enable the controller to: (i) model neighborhood-wide traffic based on directed-graph representations; (ii) use the representations to identify patterns in real-time traffic measurements; and (iii) capture those patterns to a spatial representation needed for selecting optimal cordon-metering rates. Input to the selection process also includes a total inflow to be admitted through a cordon. The rate is optimized in a separate process that is not part of the present work. Our RL-controller distributes that separately-optimized rate across the signalized street links that feed traffic through the cordon. The resulting metering rates vary from one feeder link to the next. The selection process can reoccur at short time intervals in response to changing traffic patterns. Once trained on a few cordons, the RL-controller can be deployed on cordons elsewhere in a city without additional training. This portability feature is confirmed via simulations of traffic on an idealized street network. The tests also indicate that the controller can reduce the network’s vehicle hours traveled well beyond what can be achieved via spatially-uniform cordon metering. The extra reductions in VHT are found to grow larger when traffic exhibits greater in-homogeneities over the network.",0968-090X,Not found
Integrated optimization of terminal maneuvering area and airport at the macroscopic level,10.1016/j.trc.2018.12.006,98,2019-01-01,2019,1,"Airports and surrounding airspaces are limited in terms of capacity and represent the major bottlenecks of the air traffic management system. This paper addresses the problems of terminal airspace management and airport congestion management at the macroscopic level through the integrated control of arrivals and departures. Conflict detection and resolution methods are applied to a predefined terminal route structure. Different airside components are modeled using network abstraction. Speed, arrival and departure times, and runway assignment are managed by using an optimization method. An adapted simulated annealing heuristic combined with a time decomposition approach is proposed to solve the corresponding problem. Computational experiments performed on case studies of Paris Charles De-Gaulle airport show some potential improvements: First, when the airport capacity is decreased, until a certain threshold, the overload can be mitigated properly by adjusting the aircraft entry time in the Terminal Maneuvering Area and the pushback time. Second, landing and take-off runway assignments in peak hours with imbalanced runway throughputs can significantly reduce flight delays. A decrease of 37% arrival delays and 36% departure delays was reached compared to baseline case.",0968-090X,Not found
What have we learned? A review of stated preference and choice studies on autonomous vehicles,10.1016/j.trc.2018.12.003,98,2019-01-01,2019,1,"This paper provides a review of studies published in peer-reviewed journals, conference proceedings, and technical academic and private sector reports on surveys about autonomous vehicles (AVs) from 2012 onward. The studies and respective surveys are categorized in this paper based on the study objectives and methodology applied. More than half of the reviewed studies on AVs focus on capturing individuals’ behavioral characteristics and perceptions. The second most prevalent category includes studies about individuals’ willingness to pay to use AVs. The reviewed studies were also categorized according to the study population. The paper identifies and classifies attitudinal questions in each survey into different components that may affect behavioral intention to ride in AVs and provides information on specific hypotheses that were set in the studies. Moreover, a discussion of the benefits, barriers/concerns, and opportunities related to the deployment of AVs is presented. The paper concludes by summarizing the lessons learned and outlining the research gaps.",0968-090X,Not found
Long-term vehicle reservations in one-way free-floating carsharing systems: A variable quality of service model,10.1016/j.trc.2018.11.017,98,2019-01-01,2019,1,"Reservations in daily services can improve user satisfaction, and give additional information about the demand patterns to the operators. However, providing reservations to carsharing clients is difficult. While carsharing is especially convenient if it is allowing one-way trips and vehicle drop-off anywhere in the service area (called free-floating), this flexibility increases management complexity because of vehicle stock imbalance. Most of the commercial providers of free-floating carsharing offer reservations under highly restrictive terms, for example only up to 30 min in advance. In this paper, we propose an innovative reservation enforcement technique that allows substantially longer reservation times while keeping the system profitable and achieving high service quality. A simple way to enforce reservations is locking vehicles until the departure time of a client. However, it comes at the cost of idling vehicles that could be used by other users and decreasing the revenue. Our approach, called relocations-based reservation enforcement method (R-BR) combines vehicle locking and relocation movements. It locks vehicles only a short time before the trip departure if a suitable vehicle is close enough due to the natural trip patterns. If no such vehicle is available, a car is relocated from another place. Further, we propose a variable quality of service (QoS) model in which the guaranteed radius around the user within which the reserved vehicle will be placed, and the maximum allowed reservation time before the departure depends on the zone of trip departure. A simulation-based optimization is used whereby the carsharing operation is simulated and optimized using an iterated local search (ILS) metaheuristic for adjustment of service level parameters. The proposed technique is tested on a set of artificial problem examples and a case study of a simulated working day in the Lisbon Municipality, Portugal. Results show that the proposed R-BR method is substantially better than the simple vehicle locking when the constant QoS approach is used and that the devised ILS metaheuristic can further increase the system performance, especially with high trip volumes.",0968-090X,Not found
Enabling the use of a planning agent for urban traffic management via enriched and integrated urban data,10.1016/j.trc.2018.12.005,98,2019-01-01,2019,1,"Improving a city’s infrastructure is seen as a crucial part of its sustainability, leading to efficiencies and opportunities driven by technology integration. One significant step is to support the integration and enrichment of a broad variety of data, often using state of the art linked data approaches. Among the many advantages of such enrichment is that this may enable the use of intelligent processes to autonomously manage urban facilities such as traffic signal controls. In this paper we document an attempt to integrate sets of sensor and historical data using a data hub and a set of ontologies for the data. We argue that access to such high level integrated data sources leads to the enhancement of the capabilities of an urban transport operator. We demonstrate this by documenting the development of a planning agent which uses such data as inputs in the form of logic statements, and when given traffic goals to achieve, outputs complex traffic signal strategies which help transport operators deal with exceptional events such as road closures or road traffic saturation. The aim is to create an autonomous agent which reacts to commands from transport operators in the face of exceptional events involving saturated roads, and creates, executes and monitors plans to deal with the effects of such events. We evaluate the intelligent agent in a region of a large urban area, under the direction of urban transport operators.",0968-090X,Not found
