,Title,Github_urls,setup_files,docker_files,setup_info_in_readme,shell_instructions_in_readme,notebook_instructions_in_readme,code_instructions_in_readme
0,Translation software: An alternative to transit data standards,['https://github.com/availabs/MTA_Subway_SIRI_Server'],[False],[False],[True],[True],[False],[False]
1,A framework for end-to-end deep learning-based anomaly detection in transportation networks,['https://github.com/numenta/NAB'],[False],[False],[True],[False],[False],[True]
2,Simulation pipeline for traffic evacuation in urban areas and emergency traffic management policy improvements through case studies,['https://github.com/google-research/google-research'],[False],[False],[False],[False],[False],[False]
3,The influence of passenger air traffic on the spread of COVID-19 in the world,['https://github.com/CSSEGISandData/COVID-19'],[False],[False],[True],[False],[False],[True]
4,Modelling cyclists’ route choice using Strava and OSMnx: A case study of the City of Glasgow,['https://github.com/gboeing/osmnx'],[False],[False],[True],[False],[False],[False]
5,"Park-and-ride facility location optimization: A case study for Nashville, Tennessee",['https://github.com/srezaei90/Park-and-Ride-Facility-Location-Optimization'],[False],[False],[True],[False],[False],[True]
6,Multi-objective optimization and heuristic based solutions for evacuation modeling,"['https://github.com/Jaiaid/TNDP_Evac_Heuristic', 'https://github.com/mahi045/JMetal4']","[False, 'Repo not found']","[False, 'Repo not found']","[False, 'Repo not found']","[False, 'Repo not found']","[False, 'Repo not found']","[True, 'Repo not found']"
7,Mixed fleets of automated and human-driven vehicles in public transport systems: An evaluation of feeder line services,['https://github.com/csipetas/MixedFleetsinFlexibleTransport'],[False],[False],[False],[False],[False],[False]
8,COVID-19 public transit precautions: Trade-offs between risk reduction and costs,['https://github.com/Lilyhanig/transit_covid_precautions'],[False],[False],[False],[False],[False],[False]
9,Bilevel large neighborhood search for the electric autonomous dial-a-ride problem,['https://github.com/HRI-EU/e_adarp_material'],[False],[False],[False],[False],[False],[False]
10,"Sensitivity evaluation of machine learning-based calibrated transportation mode choice models: A case study of Alexandria City, Egypt",['https://github.com/Moccino17/Transport_Mode_Sklearn'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found']
11,"Macroscopic modeling of connected, autonomous and human-driven vehicles: A pragmatic perspective",['https://github.com/maxime-gueriau/ITSC2020_CAV_impact'],[False],[False],[False],[False],[False],[False]
12,Enhancing digital road networks for better transportation in developing countries,['https://github.com/valentijnstienen/PemPem-paper'],[False],[False],[True],[True],[False],[True]
13,Evaluating the influence of cyclists’ route choices incorporation into travel demand modelling: A case study in greater Helsinki,['https://github.com/HSLdevcom/helmet-model-system'],[False],[False],[True],[True],[False],[True]
14,An empirical analysis of the spatial variability of fuel prices in the United States,['https://github.com/JusteRaimbault/EnergyPriceAt'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found']
15,Towards welfare optimal operation of innovative mobility concepts: External cost pricing in a world of shared autonomous vehicles,['https://github.com/matsim-vsp/matsim-berlin'],[False],[False],[True],[True],[False],[True]
16,Designing a large-scale public transport network using agent-based microsimulation,['https://github.com/manserpa/minibus'],[False],[False],[False],[False],[False],[False]
17,Evaluating the systemic effects of automated mobility-on-demand services via large-scale agent-based simulation of auto-dependent prototype cities,"['https://github.com/jimioke/virtual-city-generator', 'https://github.com/jimioke/mitei-prototype-cities']","[False, 'Repo not found']","[False, 'Repo not found']","[True, 'Repo not found']","[False, 'Repo not found']","[False, 'Repo not found']","[False, 'Repo not found']"
18,A study of relationships in traffic oscillation features based on field experiments,['https://github.com/yaohandong/HISTORIC-DATA'],[False],[False],[False],[False],[False],[False]
19,ICT's impacts on ride-hailing use and individual travel,['https://github.com/jcmoody6/ict-nhts-2017'],[False],[False],[False],[False],[False],[False]
20,The slow uptake of electric cars in Italy and Slovenia. Evidence from a stated-preference survey and the role of knowledge and environmental awareness,['https://github.com/czaj/dce'],[False],[False],[True],[False],[False],[False]
21,Estimating the uncertainty of traffic forecasts from their historical accuracy,['https://github.com/uky-transport-data-science/forecastcarddata'],[False],[False],[True],[True],[False],[False]
22,Navigability assessment of large-scale redesigns in nine public transport networks: Open timetable data approach,"['https://github.com/CxAalto/gtfspy', 'https://github.com/jweckstr/journey-diversity-scripts']","[False, False]","[False, False]","[True, False]","[False, False]","[False, False]","[True, False]"
23,"The impact of social externality information on fostering sustainable travel mode choice: A behavioral experiment in Zhengzhou, China",['https://github.com/rlluo1/Zhengzhou_2019_survey'],[False],[False],[False],[False],[False],[False]
24,How to trade thirty thousand products: A wholesale market design for road capacity,['https://github.com/matsim-scenarios/matsim-berlin'],[False],[False],[True],[True],[False],[True]
25,Characterising public transport shifting to active and private modes in South American capitals during the COVID-19 pandemic,['https://github.com/CSSEGISandData/COVID-19'],[False],[False],[True],[False],[False],[True]
26,CIAM: A data-driven approach for classifying long-term engagement of public transport riders at multiple temporal scales,['https://github.com/websense/CIAMpassengers'],[False],[False],[False],[False],[False],[True]
27,Shifts in perspective: Operational aspects in (non-)autonomous ride-pooling simulations,['https://github.com/matsim-org/matsim-libs'],[False],[False],[True],[False],[False],[False]
28,Transport policies in polycentric cities,['https://github.com/mkilani-dev/scbd'],[False],[False],[True],[False],[False],[False]
29,"Shared mobility services towards Mobility as a Service (MaaS): What, who and when?","['https://github.com/h2020-momentum/MOMENTUM', 'https://github.com/nsanthanakrishnan/Scopus-Query']","[False, False]","[False, False]","[False, False]","[False, True]","[False, True]","[False, False]"
30,Adaptive transit design: Optimizing fixed and demand responsive multi-modal transportation via continuous approximation,['https://github.com/giovanni-cal/future-transit'],[False],[False],[{}],[{}],[{}],[False]
31,Impacts of bus overtaking policies on the capacity of bus stops,['https://github.com/Sangen-Hu/Bus-stop-Simulation'],[False],[False],[{}],[{}],[{}],[False]
32,Scale effects in ridesplitting: A case study of the City of Chicago,['https://github.com/UTEL-UIUC/Ridesharing-Scale-Effects'],[False],[False],[True],[False],[True],[True]
33,Toward sustainable port-hinterland transportation: A holistic approach to design modal shift policy mixes,['https://github.com/quaquel/EMAworkbench'],[False],[False],[True],[False],[False],[False]
34,"I can board, but I'd rather wait: Active boarding delay choice behaviour analysis using smart card data in metro systems","['https://github.com/czaj/dce', 'https://github.com/chechezhe/IEUATMP']","[False, False]","[False, False]","[True, True]","[False, True]","[False, False]","[False, False]"
35,Examining nonlinearity in population inflow estimation using big data: An empirical comparison of explainable machine learning models,['https://github.com/SonghuaHu-UMD/Explainable_AI_Comparison'],[False],[False],[False],[False],[False],[True]
36,Translation software: An alternative to transit data standards,['https://github.com/availabs/MTA_Subway_SIRI_Server'],[False],[False],[True],[True],[False],[False]
37,A framework for end-to-end deep learning-based anomaly detection in transportation networks,['https://github.com/numenta/NAB'],[False],[False],[True],[False],[False],[True]
38,Simulation pipeline for traffic evacuation in urban areas and emergency traffic management policy improvements through case studies,['https://github.com/google-research/google-research'],[False],[False],[False],[False],[False],[False]
39,The influence of passenger air traffic on the spread of COVID-19 in the world,['https://github.com/CSSEGISandData/COVID-19'],[False],[False],[True],[False],[False],[True]
40,Modelling cyclists’ route choice using Strava and OSMnx: A case study of the City of Glasgow,['https://github.com/gboeing/osmnx'],[False],[False],[True],[False],[False],[False]
41,"Park-and-ride facility location optimization: A case study for Nashville, Tennessee",['https://github.com/srezaei90/Park-and-Ride-Facility-Location-Optimization'],[False],[False],[True],[False],[False],[True]
42,Multi-objective optimization and heuristic based solutions for evacuation modeling,"['https://github.com/Jaiaid/TNDP_Evac_Heuristic', 'https://github.com/mahi045/JMetal4']","[False, 'Repo not found']","[False, 'Repo not found']","[False, 'Repo not found']","[False, 'Repo not found']","[False, 'Repo not found']","[True, 'Repo not found']"
43,Mixed fleets of automated and human-driven vehicles in public transport systems: An evaluation of feeder line services,['https://github.com/csipetas/MixedFleetsinFlexibleTransport'],[False],[False],[False],[False],[False],[False]
44,COVID-19 public transit precautions: Trade-offs between risk reduction and costs,['https://github.com/Lilyhanig/transit_covid_precautions'],[False],[False],[False],[False],[False],[False]
45,Bilevel large neighborhood search for the electric autonomous dial-a-ride problem,['https://github.com/HRI-EU/e_adarp_material'],[False],[False],[False],[False],[False],[False]
46,"Sensitivity evaluation of machine learning-based calibrated transportation mode choice models: A case study of Alexandria City, Egypt",['https://github.com/Moccino17/Transport_Mode_Sklearn'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found']
47,"Macroscopic modeling of connected, autonomous and human-driven vehicles: A pragmatic perspective",['https://github.com/maxime-gueriau/ITSC2020_CAV_impact'],[False],[False],[False],[False],[False],[False]
48,Enhancing digital road networks for better transportation in developing countries,['https://github.com/valentijnstienen/PemPem-paper'],[False],[False],[True],[True],[False],[True]
49,Evaluating the influence of cyclists’ route choices incorporation into travel demand modelling: A case study in greater Helsinki,['https://github.com/HSLdevcom/helmet-model-system'],[False],[False],[True],[True],[False],[True]
50,An empirical analysis of the spatial variability of fuel prices in the United States,['https://github.com/JusteRaimbault/EnergyPriceAt'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found']
51,Towards welfare optimal operation of innovative mobility concepts: External cost pricing in a world of shared autonomous vehicles,['https://github.com/matsim-vsp/matsim-berlin'],[False],[False],[True],[True],[False],[True]
52,Designing a large-scale public transport network using agent-based microsimulation,['https://github.com/manserpa/minibus'],[False],[False],[False],[False],[False],[False]
53,Evaluating the systemic effects of automated mobility-on-demand services via large-scale agent-based simulation of auto-dependent prototype cities,"['https://github.com/jimioke/virtual-city-generator', 'https://github.com/jimioke/mitei-prototype-cities']","[False, 'Repo not found']","[False, 'Repo not found']","[True, 'Repo not found']","[False, 'Repo not found']","[False, 'Repo not found']","[False, 'Repo not found']"
54,A study of relationships in traffic oscillation features based on field experiments,['https://github.com/yaohandong/HISTORIC-DATA'],[False],[False],[False],[False],[False],[False]
55,ICT's impacts on ride-hailing use and individual travel,['https://github.com/jcmoody6/ict-nhts-2017'],[False],[False],[False],[False],[False],[False]
56,The slow uptake of electric cars in Italy and Slovenia. Evidence from a stated-preference survey and the role of knowledge and environmental awareness,['https://github.com/czaj/dce'],[False],[False],[True],[False],[False],[False]
57,Estimating the uncertainty of traffic forecasts from their historical accuracy,['https://github.com/uky-transport-data-science/forecastcarddata'],[False],[False],[True],[True],[False],[False]
58,Navigability assessment of large-scale redesigns in nine public transport networks: Open timetable data approach,"['https://github.com/CxAalto/gtfspy', 'https://github.com/jweckstr/journey-diversity-scripts']","[False, False]","[False, False]","[True, False]","[False, False]","[False, False]","[True, False]"
59,"The impact of social externality information on fostering sustainable travel mode choice: A behavioral experiment in Zhengzhou, China",['https://github.com/rlluo1/Zhengzhou_2019_survey'],[False],[False],[False],[False],[False],[False]
60,How to trade thirty thousand products: A wholesale market design for road capacity,['https://github.com/matsim-scenarios/matsim-berlin'],[False],[False],[True],[True],[False],[True]
61,Characterising public transport shifting to active and private modes in South American capitals during the COVID-19 pandemic,['https://github.com/CSSEGISandData/COVID-19'],[False],[False],[True],[False],[False],[True]
62,CIAM: A data-driven approach for classifying long-term engagement of public transport riders at multiple temporal scales,['https://github.com/websense/CIAMpassengers'],[False],[False],[False],[False],[False],[True]
63,Shifts in perspective: Operational aspects in (non-)autonomous ride-pooling simulations,['https://github.com/matsim-org/matsim-libs'],[False],[False],[True],[False],[False],[False]
64,Transport policies in polycentric cities,['https://github.com/mkilani-dev/scbd'],[False],[False],[True],[False],[False],[False]
